WigleWifi-1.4,appRelease=2.26,model=SM-G950F,release=7.0,device=dreamlte,display=inon,board=universal8895,brand=samsung,,,
MAC,SSID,AuthMode,FirstSeen,Channel,RSSI,CurrentLatitude,CurrentLongitude,AltitudeMeters,AccuracyMeters,Type
06:ae:db:58:73:75,BezeqFree,[WPA2-PSK-CCMP][ESS],01/12/2017 11:04,1,-74,32.17221785,34.81439829,49.17354104,4,WIFI
06:ae:db:58:73:75,BezeqFree,[WPA2-PSK-CCMP][ESS],01/12/2017 11:04,1,-57,32.17227247,34.81408017,47.69363736,3,WIFI
fc:b4:e6:d2:86:9e,Lahav,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][ESS][BLE],01/12/2017 11:04,11,-81,32.17230692,34.81390382,46.7222322,3,WIFI
42501_13111_7943940,Partner,UNKNOWN;il,01/12/2017 11:04,0,-101,32.17245917,34.81294244,44.07673578,2,GSM
00:78:9e:f9:f5:5b,HOTBOX1234,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][ESS],01/12/2017 11:04,1,-81,65,55,43.21979902,2,WIFI
30:e1:71:be:67:57,DIRECT-56-HP OfficeJet 6950,[WPA2-PSK-CCMP][WPS][ESS],01/12/2017 11:04,11,-90,32.17257422,34.81234245,43.21979902,2,WIFI
c4:12:f5:85:27:c2,varda,[WPA2-PSK-CCMP][ESS][BLE],01/12/2017 11:04,1,-87,32.17256794,34.81218573,43.0700849,2,WIFI
80:1f:02:a3:7d:62,Gil Kitchen,[WPA-PSK-TKIP][ESS],01/12/2017 11:04,6,-83,32.17256794,34.81218573,43.0700849,2,WIFI
80:26:89:0d:4f:84,DIR-825-4f83,[WPA2-PSK-CCMP][WPS][ESS],01/12/2017 11:04,1,-89,32.17244369,34.81206366,42.9234122,2,WIFI
88:dc:96:3b:f5:e0,kenley-up,[WPA2-PSK-CCMP][ESS],01/12/2017 11:04,6,-87,32.17244369,34.81206366,42.9234122,2,WIFI
c4:12:f5:85:27:c2,varda,[WPA2-PSK-CCMP][ESS][BLE],01/12/2017 11:04,1,-80,65,55,42.69739355,2,WIFI
42501_13111_7943940,Partner,UNKNOWN;il,01/12/2017 11:04,0,-97,32.17200927,34.81191242,42.17673099,6,GSM
8c:59:c3:ea:db:4b,Liza,[WPA2-PSK-CCMP][ESS][BLE],01/12/2017 11:05,36,-91,32.17177366,34.81183742,41.75368558,4,WIFI
